,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
2566,Stealth,10048,76932943,135000000,4.9,341.0,5.0,['Action'],"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx']","[1, 1, 2, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1]","['artificial intelligence', 'u.s. navy', 'aftercreditsstinger']",2005-07-28,9,3,9,21
2567,Must Love Dogs,11648,58405313,30000000,5.8,142.0,6.0,"['Romance', 'Comedy']","['Diane Lane', 'John Cusack', 'Elizabeth Perkins']","[1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 0, 2, 0, 0, 1, 1, 1, 2]","['sister sister relationship', 'make a match', 'single', 'children', 'teacher', 'dating', 'divorce', 'pet dog', 'computer dating', 'internet dating', 'wooden boats']",2005-07-21,8,9,3,20
2568,Serenity,16320,38869464,39000000,7.4,1287.0,7.0,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['Nathan Fillion', 'Gina Torres', 'Alan Tudyk']","[2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 0, 2, 1, 1, 2, 0, 2, 2]","['martial arts', 'telepathy', 'dystopia', 'spaceship', 'fugitive', 'based on tv series', 'planet', 'throat slitting', 'cannibal', 'reavers', 'operative', 'ex soldier', 'firefly']",2005-08-25,12,7,2,21
2569,Broken Flowers,308,45742101,10000000,6.8,359.0,7.0,"['Comedy', 'Drama', 'Mystery', 'Romance']","['Bill Murray', 'Julie Delpy', 'Sharon Stone']","[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 0, 2]","['bachelor', 'ex-boyfriend', 'ex-girlfriend', 'anonymous letter', 'midlife crisis', 'amateur detective', 'it-expert', 'veterinarian', 'unsociability', 'independent film']",2005-05-17,7,11,1,19
2570,The Heart is Deceitful Above All Things,26579,176153,74050,5.7,38.0,5.0,['Drama'],"['Asia Argento', 'Jimmy Bennett', 'Jeremy Renner']","[1, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2]","['prostitute', 'alcohol', 'rape', 'sex', 'fire', 'dancer', 'nudity', 'fanatic', 'officer', 'police', 'stripper', 'autobiography', 'controversial', 'independent film', 'true', 'religion', 'psychologist', 'pedophile', 'drug', 'woman director', 'mental', 'insane', 'knoxville']",2004-09-15,11,3,3,17
2571,Man-Thing,18882,143000,7500000,4.0,38.0,5.0,"['Action', 'Horror', 'Science Fiction']","['Matthew Le Nevez', 'Rachael Taylor', 'Jack Thompson']","[0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 0, 0, 2]","['monster', 'swamp', 'marvel comic']",2005-04-21,9,2,4,15
2572,The Dukes of Hazzard,6519,110803676,50000000,5.1,321.0,5.0,"['Action', 'Adventure', 'Comedy']","['Johnny Knoxville', 'Seann William Scott', 'Jessica Simpson']","[2, 2, 1, 2, 2, 2, 0, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 1, 2, 0, 2]","['sheriff', 'farm', 'bikini', 'redneck', 'moonshine']",2005-08-05,12,5,4,21
2573,Deuce Bigalow: European Gigolo,11453,22400154,22000000,4.6,232.0,5.0,['Comedy'],"['Rob Schneider', 'Eddie Griffin', 'Jeroen Krabb\xc3\xa9']","[2, 2, 0, 2, 1, 2, 2, 2, 2, 2]","['painter', 'amsterdam', 'dolphin', 'europe', 'pimp', 'fetish', 'gigolo', 'wig', 'snorkel', 'whistle']",2005-08-06,8,1,1,10
2574,The Skeleton Key,9913,91974818,43000000,6.4,588.0,6.0,"['Drama', 'Horror', 'Mystery', 'Thriller']","['Kate Hudson', 'Gena Rowlands', 'Peter Sarsgaard']","[1, 1, 2, 2, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0]","['nurse', 'secret', 'dream', 'fight', 'kidnapping', 'new orleans', 'key', 'plantation', 'voodoo', 'party', 'lawyer', 'blood', 'violence', 'mirror', 'attic', 'occult']",2005-07-29,4,9,7,20
2575,Four Brothers,8292,92374674,45000000,6.7,617.0,7.0,"['Action', 'Crime']","['Mark Wahlberg', 'Tyrese Gibson', 'Andr\xc3\xa9 Benjamin']","[2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0]","['brother brother relationship', 'robbery', 'arbitrary law', 'adoptive mother', 'revenge', 'murder', 'violence', 'detroit', 'duringcreditsstinger', 'interracial adoption']",2005-08-11,11,3,7,21
2576,The Great Raid,13922,10166502,80000000,6.8,91.0,6.0,"['Action', 'History', 'War']","['Benjamin Bratt', 'James Franco', 'Connie Nielsen']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0]","['based on novel', 'world war ii', 'prisoners of war', 'narration', 'archive footage', 'rescue mission', 'soldier', '1940s', 'inspired by true events', 'fictionalized history']",2005-08-12,13,1,7,21
2577,The 40 Year Old Virgin,6957,109449237,26000000,6.2,2020.0,6.0,"['Comedy', 'Romance']","['Steve Carell', 'Catherine Keener', 'Paul Rudd']","[2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2]","['first time', 'virgin']",2005-08-11,9,12,0,21
2578,Red Eye,11460,57891803,26000000,6.2,471.0,6.0,"['Horror', 'Thriller']","['Rachel McAdams', 'Cillian Murphy', 'Brian Cox']","[1, 2, 2, 1, 2, 2, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 2, 1, 2]","['hostage', 'menace', 'hitman', 'airplane']",2005-08-04,8,8,5,21
2579,Dilwale Dulhania Le Jayenge,19404,100000000,13200000,9.1,661.0,9.0,"['Comedy', 'Drama', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Amrish Puri']","[2, 1, 0, 2, 2, 1, 1, 0, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",['musical'],1995-10-20,6,4,11,21
2580,Valiant,14175,19478106,35000000,5.2,239.0,5.0,"['Animation', 'Family', 'Adventure']","['Ewan McGregor', 'Ricky Gervais', 'Tim Curry']","[2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1]","['animation', 'animal', '3d']",2005-03-25,11,2,2,15
2581,The Brothers Grimm,4442,105316267,88000000,5.6,847.0,6.0,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Thriller']","['Heath Ledger', 'Matt Damon', 'Mackenzie Crook']","[2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]","['brother brother relationship', 'literature', 'aftercreditsstinger']",2005-08-26,8,2,10,20
2582,The Cave,9042,15007991,30000000,5.2,204.0,5.0,"['Action', 'Adventure', 'Horror', 'Thriller']","['Cole Hauser', 'Eddie Cibrian', '\xd0\x9c\xd0\xbe\xd1\x80\xd1\x80\xd0\xb8\xd1\x81 \xd0\xa7\xd0\xb5\xd1\x81\xd1\x82\xd0\xbd\xd0\xb0\xd1\x82']","[2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2]","['fall', 'burned alive', 'violence', 'diver', 'swimwear']",2005-08-25,12,2,1,15
2583,Undiscovered,17926,1046166,9000000,4.5,13.0,5.0,"['Comedy', 'Romance']","['Kip Pardue', 'Carrie Fisher', 'Shannyn Sossamon']","[2, 1, 1, 1, 2, 2, 0, 2, 1, 2, 1, 2, 0, 2, 0]","['independent film', 'aspiring singer', 'singer', 'los angeles']",2005-08-26,7,5,3,15
2584,The Constant Gardener,1985,82466670,25000000,6.9,428.0,7.0,"['Drama', 'Mystery', 'Thriller']","['Ralph Fiennes', 'Rachel Weisz', 'Danny Huston']","[2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 2]","['aids', 'diplomat', 'nairobi', 'politician', 'pharmaceutical industry', 'cancer', 'morgue', 'genocide in rwanda']",2005-08-31,9,4,7,20
2585,Transporter 2,9335,85167639,32000000,6.2,1076.0,6.0,"['Action', 'Thriller', 'Crime']","['Jason Statham', 'Amber Valletta', 'Kate Nauta']","[2, 1, 1, 2, 2, 0, 2, 2, 2, 0]","['martial arts', 'war on drugs', 'kidnapping', 'bodyguard', 'baby-snatching']",2005-08-02,6,2,2,10
2586,Just Like Heaven,9007,102854431,58000000,6.5,595.0,6.0,"['Comedy', 'Fantasy', 'Romance']","['Reese Witherspoon', 'Mark Ruffalo', 'Donal Logue']","[1, 2, 2, 0, 2, 2, 1, 1, 1, 2, 2, 0, 0, 1, 1, 2, 2, 0, 1, 1, 1]","['coma', 'based on novel', 'workaholic', 'flirt', 'architect', 'romantic comedy', 'ghost', 'landscape architect']",2005-09-16,8,9,4,21
2587,Proof,9777,7535331,20000000,6.2,182.0,6.0,"['Drama', 'Mystery']","['Gwyneth Paltrow', 'Anthony Hopkins', 'Jake Gyllenhaal']","[1, 2, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 2, 0]","['alcohol', 'sex', 'mathematician', 'paranoia', 'dementia', 'proof', 'notebook', 'police', 'campus', 'party', 'love', 'grief', 'student', 'university', 'drug', 'illness', 'science', 'disturbed', 'complications', 'collision', 'papers']",2005-09-05,7,4,3,14
2588,Lord of War,1830,24127895,42000000,7.0,1356.0,7.0,"['Crime', 'Drama', 'Thriller']","['Nicolas Cage', 'Bridget Moynahan', 'Jared Leto']","[2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]","['cold war', 'weapon', 'arms dealer']",2005-09-16,8,1,11,20
2589,Cry_Wolf,10092,10047674,1000000,5.6,127.0,6.0,"['Horror', 'Thriller']","['Julian Morris', 'Lindy Booth', 'Jared Padalecki']","[2, 1, 2, 2, 1, 2, 2, 2, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 1]","['murder', 'serial killer', 'student', 'rumor']",2005-09-16,8,5,7,20
2590,Everything is Illuminated,340,2697930,7000000,7.4,251.0,7.0,"['Comedy', 'Drama']","['Elijah Wood', 'Eugene Hutz', 'Boris Leskin']","[2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","['grandfather grandson relationship', 'mass murder', 'ukraine', 'pop culture', 'blindness and impaired vision', 'journey in the past', 'passion for collection', 'souvenir', 'nazis', 'anti semitism', 'photograph']",2005-09-16,3,0,11,14
2591,Doom,8814,55987321,60000000,5.0,619.0,5.0,"['Adventure', 'Action', 'Horror']","['Dwayne Johnson', 'Karl Urban', 'Rosamund Pike']","[2, 2, 1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0]","['teleportation', 'based on video game', 'severed ear', 'future war', 'wisecrack humor', 'commando mission']",2005-10-20,10,1,4,15
2592,Domino,9923,22944502,50000000,6.0,450.0,6.0,"['Action', 'Crime']","['Keira Knightley', 'Mickey Rourke', 'Edgar Ram\xc3\xadrez']","[1, 2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1]","['bounty hunter', 'fbi', 'weapon', 'spectacle']",2005-09-22,11,9,1,21
2593,Waiting...,7553,18637690,3000000,6.2,241.0,6.0,['Comedy'],"['Ryan Reynolds', 'Anna Faris', 'Justin Long']","[2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2]","['decision', 'waiter', 'hostess', 'trainee', 'gross out', 'employer employee relationship', 'speaking german', 'glass pipe', 'screaming']",2005-10-07,13,8,0,21
2594,Æon Flux,8202,52304001,62000000,5.4,717.0,5.0,"['Action', 'Science Fiction']","['Charlize Theron', 'Marton Csokas', 'Jonny Lee Miller']","[1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 2, 1, 2, 2, 0, 0]","['martial arts', 'dystopia', 'surrealism', 'based on cartoon', 'shootout', 'espionage', 'infertility', 'cyberpunk', 'extreme violence', 'sabotage', 'one against many', 'woman director', 'hand to hand combat', 'action heroine', 'human cloning', '25th century']",2005-11-30,10,8,3,21
2595,An Unfinished Life,1947,18618284,30000000,6.7,165.0,6.0,['Drama'],"['Robert Redford', 'Jennifer Lopez', 'Morgan Freeman']","[2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 0, 2, 0, 2]","['loss of son', 'sheriff', 'wyoming', 'grandfather granddaughter relationship', 'violence against women']",2005-09-09,7,6,2,15
2596,The Exorcism of Emily Rose,8643,144216468,19000000,6.3,675.0,6.0,"['Crime', 'Drama', 'Horror', 'Thriller']","['Laura Linney', 'Tom Wilkinson', 'Campbell Scott']","[1, 2, 2, 1, 0, 1, 2, 2, 1, 2, 1, 2, 2, 1, 0, 0, 2, 1, 2, 2]","['epilepsy', 'possession', 'teenage girl', 'spirit', 'umbrella', 'cross', 'prosecutor', 'catholicism', 'negligent homicide', 'archdiocese', 'agnostic', 'malnutrition', 'burning', 'psychotic epileptic disorder']",2005-09-09,10,7,3,20
2597,Flightplan,9315,223387299,55000000,6.1,796.0,6.0,"['Thriller', 'Drama', 'Mystery']","['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean']","[1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1]","['berlin', 'loss of father', 'airplane', 'baby-snatching']",2005-09-22,7,8,0,15
2598,Corpse Bride,3933,117195061,40000000,7.2,1957.0,7.0,"['Romance', 'Fantasy', 'Animation', 'Music']","['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson']","[2, 1, 0, 0, 2, 1, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0]","['shyness', 'england', 'cheating', 'old town', 'grave', 'skeleton', 'musical', 'marriage', 'wedding ring', 'stop motion', 'animation', 'money', 'wedding', 'corpse', 'wedding ceremony', 'parents', 'dark fantasy', 'european', 'ring', 'piano']",2005-09-09,8,3,5,16
2599,A History of Violence,59,60740827,32000000,6.9,850.0,7.0,"['Drama', 'Thriller', 'Crime']","['Viggo Mortensen', 'Maria Bello', 'Heidi Hayes']","[2, 1, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2]","['robbery', 'double life', 'dual identity', 'small town', 'indiana', 'distrust', 'fight', 'self-defense', 'marriage', 'family relationships', 'mistaken identity', 'diner', 'lawyer', 'mobster', 'violence', 'attempted robbery']",2005-09-23,11,2,2,15
2600,Oliver Twist,257,42093706,50000000,6.7,283.0,7.0,"['Crime', 'Drama', 'Family']","['Barney Clark', 'Ben Kingsley', 'Jamie Foreman']","[2, 2, 2, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 1, 1]","['london england', 'child abuse', 'street gang', 'runaway', 'child labour', ""children's home"", 'orphanage', 'thief', 'violence', 'good and bad', 'child']",2005-09-23,11,3,7,21
2601,The Greatest Game Ever Played,15487,15431177,25000000,6.9,112.0,7.0,"['Drama', 'Family']","['Shia LaBeouf', 'Stephen Dillane', 'Josh Flitter']","[2, 2, 2, 2, 1, 2]",['sport'],2005-09-30,5,1,0,6
2602,Capote,398,49084830,7000000,6.9,394.0,7.0,"['Crime', 'Drama']","['Philip Seymour Hoffman', 'Allie Mickelson', 'Craig Archibald']","[2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 2, 2, 2, 1, 2, 2]","['gay', 'self-fulfilling prophecy', 'based on novel', 'journalism', 'identity', 'dream', 'literature research', 'literature', 'dying and death', 'biography']",2005-09-30,9,3,5,17
2603,Into the Blue,11968,44434439,50000000,5.8,466.0,6.0,"['Action', 'Thriller', 'Adventure', 'Crime']","['Paul Walker', 'Jessica Alba', 'Scott Caan']","[2, 1, 2, 1, 2, 2, 2, 2, 2]","['diving', 'cocaine', 'shipwreck', 'sailing', 'airplane', 'wrack']",2005-09-30,7,2,0,9
2604,Mirrormask,14517,866999,4000000,6.6,107.0,6.0,['Fantasy'],"['Stephanie Leonidas', 'Jason Barry', 'Rob Brydon']","[1, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0]","['fictional place', 'dream', 'fantasy']",2005-01-25,6,3,4,13
2605,The Curse of the Were-Rabbit,533,192452832,30000000,6.8,660.0,7.0,"['Adventure', 'Animation', 'Comedy', 'Family']","['Peter Sallis', 'Helena Bonham Carter', 'Ralph Fiennes']","[2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0]","['competition', 'garden', 'vegetable', 'stop motion', 'animation', 'contest', 'dog', 'rabbit', 'pest control', 'giant vegetable', 'wallace & gromit']",2005-09-04,11,3,6,20
2606,Kiss Kiss Bang Bang,5236,15785148,15000000,7.2,900.0,7.0,"['Action', 'Comedy', 'Crime', 'Mystery']","['Robert Downey Jr.', 'Val Kilmer', 'Michelle Monaghan']","[2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1]","['detective', 'loser', 'custody battle', 'shooting', 'thief', 'crush', 'los angeles', 'series of murders', 'celebration', 'hoodlum', 'female corpse', 'christmas']",2005-09-05,6,10,5,21
2607,Goal!: The Dream Begins,9763,27610873,30000000,6.6,244.0,6.0,['Drama'],"['Kuno Becker', 'Alessandro Nivola', 'Anna Friel']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1, 0, 1, 2, 2, 2]","['restaurant', 'sport', 'coach', 'athlete', 'newcastle united', 'computer games']",2005-06-06,11,4,2,17
2608,The Wraith,10017,3500000,2700000,5.9,109.0,6.0,"['Romance', 'Science Fiction', 'Horror', 'Action', 'Crime']","['Charlie Sheen', 'Nick Cassavetes', 'Sherilyn Fenn']","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0]","['male nudity', 'female nudity', 'sex', 'killing', 'sheriff', 'car race', 'cemetery', 'shotgun', 'arizona', 'nudity', 'reincarnation', 'police', 'auto-tuning', 'street race', 'revenge', 'murder', 'car crash', 'alien', 'independent film', 'gang', 'motorcycle', 'violence', 'car chase', 'cult film', 'ghost', 'road movie', 'drag racing', 'roller skates', 'strange person', 'budweiser', 'turbo intercepter']",1986-11-21,10,1,4,15
2609,55 Days at Peking,27759,10000000,17000000,6.5,38.0,6.0,"['Action', 'Drama', 'History']","['Charlton Heston', 'Ava Gardner', 'David Niven']","[2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 0, 0]","['siege', 'epic', 'beijing']",1963-05-06,12,3,2,17
2610,The Squid and the Whale,10707,11098131,1500000,6.9,229.0,7.0,"['Comedy', 'Drama']","['Jeff Daniels', 'Laura Linney', 'Jesse Eisenberg']","[2, 1, 2, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['childhood memory', 'uniform', 'independent film', 'private', 'tryst']",2005-10-05,4,5,12,21
2611,Two for the Money,9910,30526509,35000000,5.9,156.0,6.0,"['Comedy', 'Crime', 'Drama', 'Thriller']","['Al Pacino', 'Matthew McConaughey', 'Rene Russo']","[2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2]","['bet', 'career', 'greed', 'sport', 'american football player', 'inspired by a true story']",2005-10-07,14,5,1,20
2612,Brokeback Mountain,142,178043761,14000000,7.5,1531.0,7.0,"['Drama', 'Romance']","['Heath Ledger', 'Jake Gyllenhaal', 'Randy Quaid']","[2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 1]","['gay', 'countryside', 'homophobia', 'loss of lover', 'wyoming', 'rodeo', 'father murder', 'horseback riding', 'intolerance', 'daughter', 'marriage crisis', 'secret love', 'cowboy', 'star crossed lovers']",2005-09-02,5,6,4,15
2613,Elizabethtown,9621,52034889,57000000,6.1,335.0,6.0,"['Comedy', 'Drama', 'Romance']","['Orlando Bloom', 'Kirsten Dunst', 'Susan Sarandon']","[2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 0, 0, 2]","['suicide', 'hotel room', 'suicide attempt', 'new love', 'funeral', 'airplane', 'lovers', 'falling in love']",2005-10-06,6,4,3,13
2614,North Country,9701,25224242,35000000,6.9,127.0,7.0,['Drama'],"['Charlize Theron', 'Elle Peterson', 'Thomas Curtis']","[1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2]","['rape', 'secret', 'minnesota', 'witness', 'miner', 'insult', 'court', 'lawsuit', 'love', 'lesbian', 'battle', 'case', 'woman', 'woman director', 'landmark', 'harrassment', 'legal']",2005-02-12,8,9,0,17
2615,"Good Night, and Good Luck.",3291,54600000,7000000,6.8,274.0,7.0,"['Drama', 'History']","['David Strathairn', 'Jeff Daniels', 'Alex Borstein']","[2, 2, 1, 1, 0, 2, 2, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 2, 1, 2, 2]","['telecaster', 'communist', 'political activism', 'tv show', 'politician', 'government', 'anti-communism']",2005-09-16,15,4,2,21
2616,The Proposition,16608,5048693,2000000,7.1,221.0,7.0,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller', 'Western']","['Guy Pearce', 'Ray Winstone', 'Emily Watson']","[2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]","['gallows', 'australia', 'psychopath', 'outlaw', 'misanthrope', 'gang', 'shootout', 'sadist', 'brutality', 'violence', 'hideout', 'retribution', 'flogging', 'whipping', 'sunset', 'aborigine', 'savagery']",2005-10-06,8,0,13,21
2617,The Fog,791,46201432,18000000,3.8,191.0,4.0,"['Horror', 'Thriller']","['Tom Welling', 'Maggie Grace', 'Selma Blair']","[2, 1, 1, 2, 0, 2, 1, 2, 1, 2, 2]","['prophecy', 'fire', 'sea', 'beach', 'cemetery', 'gold', 'small town', 'beheading', 'sword', 'penalty', 'narration', 'fog', 'leprosy', 'ship', 'ghost ship', 'lighthouse', 'weather service', 'unatoned crime', 'mother daughter relationship', 'killer', 'denunciation']",2005-10-14,6,4,1,11
2618,Shopgirl,2610,11588205,10284523,5.7,80.0,6.0,"['Comedy', 'Drama', 'Romance']","['Steve Martin', 'Claire Danes', 'Jason Schwartzman']","[2, 1, 2, 0, 1, 2, 1, 1, 1, 2, 1]",['salesclerk'],2005-10-21,4,6,1,11
2619,Stay,8066,8342132,50000000,6.5,346.0,6.0,"['Mystery', 'Thriller', 'Drama']","['Ewan McGregor', 'Ryan Gosling', 'Naomi Watts']","[2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1]","['suicide attempt', 'time warp', 'loss of sense of reality', 'student', 'psychiatrist', 'parallel world']",2005-09-24,7,7,0,14
2620,The Legend of Zorro,1656,142400065,75000000,5.9,909.0,6.0,"['Action', 'Adventure']","['Antonio Banderas', 'Catherine Zeta-Jones', 'Adri\xc3\xa1n Alonso Barona']","[2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 2, 1, 1, 0, 0, 2, 2]","['california', 'spy', 'father son relationship', 'mexico', 'hero', 'marriage crisis', 'sword fight', 'divorce', 'american civil war']",2005-10-24,10,3,4,17
2621,The Weather Man,6963,12482775,20000000,6.0,292.0,6.0,"['Comedy', 'Drama']","['Nicolas Cage', 'Michael Caine', 'Hope Davis']","[2, 2, 1, 1, 2, 2, 2, 1, 0, 0, 2]","['new york', 'chicago', 'midlife crisis', 'television', 'daughter', 'father', 'weatherman', 'terminal illness', 'wettermann']",2005-10-20,6,3,2,11
2622,Saw II,215,152925093,4000000,6.3,1288.0,6.0,['Horror'],"['Tobin Bell', 'Shawnee Smith', 'Donnie Wahlberg']","[2, 1, 2, 0, 2, 1, 1, 1, 0, 2, 2, 2, 2, 0, 0]","['riddle', 'serial killer']",2005-10-28,7,4,4,15
2623,Empire of the Wolves,10799,11875866,24000000,5.5,57.0,5.0,['Action'],"['Jean Reno', 'Arly Jover', 'Jocelyn Quivrin']","[2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 1]","['amnesia', 'intelligence', 'psychology', 'memory loss', 'turkish mafia']",2005-04-20,5,3,7,15
2624,Manderlay,1951,674918,14200000,6.9,81.0,6.0,['Drama'],"['Bryce Dallas Howard', 'Isaach De Bankol\xc3\xa9', 'Danny Glover']","[1, 2, 2, 2, 0, 1, 2, 2, 1, 2, 0, 2]","['southern usa', 'slavery', 'duringcreditsstinger']",2005-05-16,7,3,2,12
2625,Damnation Alley,25763,8720000,17000000,5.0,27.0,5.0,"['Action', 'Adventure', 'Science Fiction']","['Jan-Michael Vincent', 'George Peppard', 'Dominique Sanda']","[2, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2]","['based on novel', 'future', 'post-apocalyptic', 'war', 'cockroach', 'motorcycle', 'scorpion', 'post nuclear', 'battle for survival']",1977-09-10,9,1,8,18
2626,Jarhead,25,96889998,72000000,6.6,776.0,7.0,"['Drama', 'War']","['Jamie Foxx', 'Jake Gyllenhaal', 'Scott MacDonald']","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 2, 2]","['sniper', 'marine corps', 'saudi arabia', 'petrol', 'golf war', 'u.s. marine']",2005-11-04,15,1,4,20
2627,Chicken Little,9982,314432665,150000000,5.6,974.0,6.0,"['Animation', 'Family', 'Comedy']","['Zach Braff', 'Joan Cusack', 'Dan Molina']","[2, 1, 2, 2, 2, 1, 2, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0]","['fish', 'small town', 'space marine', 'chicken', 'alien', 'best friend', 'alien invasion', 'animal', 'duringcreditsstinger', '3d']",2005-11-04,15,2,4,21
2628,Joyeux Noël,11661,17709155,22000000,7.2,216.0,7.0,"['Romance', 'Drama', 'History', 'War', 'Music']","['Diane Kruger', 'Natalie Dessay', 'Benno F\xc3\xbcrmann']","[1, 0, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 0, 2]","['holiday', 'world war i', 'hostility', 'singer', 'singing', 'christmas']",2005-11-09,10,1,4,15
2629,Get Rich or Die Tryin',10060,46442528,40000000,6.3,188.0,6.0,['Drama'],"['50 Cent', 'Joy Bryant', 'Adewale Akinnuoye-Agbaje']","[2, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 0, 1, 2, 0, 2, 2, 0, 0, 0, 2]","['loss of mother', 'attempted murder', 'career', 'musical', 'rapper', 'drug']",2005-11-09,12,3,6,21
2630,Syriana,231,94000000,50000000,6.3,455.0,6.0,"['Drama', 'Thriller']","['George Clooney', 'Matt Damon', 'Jeffrey Wright']","[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 2, 0, 0, 2, 2, 0]","['anti terror', 'bomb', 'assassination', 'middle east', 'lebanon', 'cia', 'capitalism', 'globalization', 'loss of son', 'persia', 'war against terror', 'energy policy', 'petrol']",2005-11-23,15,2,4,21
2631,Derailed,8999,57479076,22000000,6.1,322.0,6.0,"['Drama', 'Thriller']","['Clive Owen', 'Jennifer Aniston', 'Vincent Cassel']","[2, 1, 2, 1, 1, 2, 2, 0, 2, 0, 1, 2, 1, 2, 1, 2, 2, 2, 0]","['prison', 'chicago', 'rape', 'based on novel', 'hotel room', 'wife husband relationship', 'anonymous letter', 'blackmail', ""family's daily life"", 'letter', 'business man', 'relationship problems', 'man between two women', 'revenge', 'deception', 'beating', 'violence', 'wallet', 'extramarital affair', 'embezzlement', 'advertising executive', 'flashback', 'abortion', 'commuter train']",2005-11-11,10,6,3,19
